Position (mm);10 x 10 MLC parked X d10cm (LR);10 x 10 MLC parked X d10cm (GT);10 x 10 MLC parked Y d10cm (LR);10 x 10 MLC parked Y d10cm (GT);10 x 10 MLC defined X d10cm (LR);10 x 10 MLC defined X d10cm (GT);10 x 10 MLC defined Y d10cm (LR);10 x 10 MLC defined Y d10cm (GT);10 x 10 MLC defined X d15cm (LR);10 x 10 MLC defined X d15cm (GT);10 x 10 MLC defined Y d15cm (LR);10 x 10 MLC defined Y d15cm (GT);10 x 10 MLC defined X d20cm (LR);10 x 10 MLC defined X d20cm (GT);10 x 10 MLC defined Y d20cm (LR);10 x 10 MLC defined Y d20cm (GT);10 x 10 MLC defined X d25cm (LR);10 x 10 MLC defined X d25cm (GT);10 x 10 MLC defined Y d25cm (LR);10 x 10 MLC defined Y d25cm (GT);5 x 5 MLC parked X d10cm (LR);5 x 5 MLC parked X d10cm (GT);5 x 5 MLC parked Y d10cm (LR);5 x 5 MLC parked Y d10cm (GT);5 x 5 MLC defined X d10cm (LR);5 x 5 MLC defined X d10cm (GT);5 x 5 MLC defined Y d10cm (LR);5 x 5 MLC defined Y d10cm (GT);15 x 15 MLC parked X d10cm (LR);15 x 15 MLC parked X d10cm (GT);15 x 15 MLC parked Y d10cm (LR);15 x 15 MLC parked Y d10cm (GT);15 x 15 MLC defined X d10cm (LR);15 x 15 MLC defined X d10cm (GT);15 x 15 MLC defined Y d10cm (LR);15 x 15 MLC defined Y d10cm (GT)
183;0.008287027;0.008156579;0.009412445;0.009208019;0.005857886;0.00573129;0.005362194;0.00529068;0.008823952;0.008655476;0.008267798;0.008144654;0.012378219;0.012042263;0.011849385;0.011236335;0.016676473;0.016371421;0.01608003;0.016222113;0.004020176;0.003960145;0.004599203;0.00444124;0.001613031;0.001588189;0.001565979;0.001541774;0.015706576;0.015398245;0.017909773;0.017782024;0.013524663;0.013074913;0.012738702;0.012471448
185;0.008080751;0.00799193;0.009205045;0.009031893;0.005662959;0.005575194;0.00523342;0.005156005;0.00859749;0.008431923;0.00806967;0.007911387;0.012116031;0.011651805;0.011518902;0.010837741;0.016243535;0.015868743;0.015727756;0.015682858;0.003947083;0.003934097;0.004514966;0.004396434;0.001569624;0.001546092;0.001555504;0.001513807;0.01540866;0.01498421;0.017360102;0.017342212;0.013076984;0.012678214;0.012315228;0.0120836
187;0.007956919;0.00780151;0.009063804;0.008931398;0.005522265;0.005409134;0.005116351;0.005035367;0.008290108;0.008206746;0.007750858;0.007615655;0.011814581;0.011330492;0.011197951;0.010685418;0.015789359;0.015375056;0.015209013;0.015184553;0.003949959;0.003856669;0.004483366;0.004346066;0.001547467;0.001502446;0.001529146;0.001499633;0.015009335;0.014649513;0.017047672;0.016867033;0.012741617;0.012293917;0.011942495;0.011690148
189;0.007761867;0.007675648;0.008919642;0.008757615;0.005342714;0.005228021;0.004952443;0.00490901;0.008136395;0.007971945;0.007592731;0.007388408;0.011376498;0.011176386;0.010856698;0.01036924;0.015347344;0.014905025;0.014860281;0.014733342;0.003854338;0.003806068;0.004404188;0.004262877;0.001534351;0.001458239;0.001502788;0.001463405;0.014555219;0.014321676;0.016536331;0.016551974;0.012379218;0.011990826;0.011600907;0.011349797
191;0.007620056;0.007534557;0.008712372;0.008634731;0.005190037;0.005062653;0.004824276;0.004789666;0.007946895;0.007720276;0.007365116;0.007249673;0.011117394;0.01075682;0.010623156;0.010116297;0.014933837;0.014425716;0.014333407;0.014334629;0.003811717;0.003780438;0.004374003;0.004240407;0.001456924;0.001427629;0.001476411;0.001481762;0.014310751;0.013920066;0.016189598;0.016176547;0.012064032;0.01162333;0.011276079;0.011035329
193;0.007489855;0.007367044;0.00856429;0.008512236;0.005018066;0.004938258;0.004687738;0.004698202;0.007667779;0.007508091;0.007214693;0.007044857;0.010795404;0.010494994;0.010331582;0.009728592;0.014560913;0.014105369;0.014088414;0.013903428;0.003778784;0.003758571;0.004317663;0.004192874;0.001398384;0.001403449;0.001435626;0.001511905;0.013998232;0.013640505;0.015840293;0.015778708;0.011741643;0.011298104;0.010953271;0.010768625
195;0.00732468;0.007248601;0.008450353;0.008368654;0.004889049;0.004780366;0.004597748;0.004640827;0.007590754;0.007280929;0.007004841;0.006842445;0.010465769;0.010239599;0.009913117;0.009452633;0.014181796;0.013682044;0.013585047;0.013411828;0.003699471;0.003685883;0.004262812;0.004150014;0.001378172;0.00137163;0.001447547;0.001594915;0.013711196;0.013308397;0.015496399;0.015434242;0.011463387;0.010962077;0.010672521;0.010508992
197;0.007241307;0.007093063;0.008303955;0.008241343;0.004759304;0.004669899;0.004543998;0.004634967;0.007280482;0.007108073;0.0068899;0.006677143;0.010259293;0.009902153;0.009764644;0.009212652;0.013826185;0.013295607;0.01328011;0.013072916;0.003693039;0.003612731;0.004211599;0.004119776;0.001376972;0.001322872;0.001434398;0.001731145;0.013308719;0.012995185;0.015176547;0.015111411;0.011093686;0.010706457;0.010379018;0.010281514
199;0.007079479;0.006905506;0.008102671;0.008085264;0.004564956;0.004492324;0.004359143;0.004639074;0.007047277;0.00688632;0.006549947;0.006509224;0.00983061;0.009657188;0.009421606;0.008966047;0.013467521;0.012965345;0.012949002;0.012675605;0.00356809;0.003523358;0.004158698;0.004042508;0.001336493;0.001301329;0.001435626;0.001877131;0.013059766;0.012685468;0.014775293;0.014858535;0.010834493;0.010387898;0.010136207;0.010144359
201;0.006932769;0.006774177;0.007942148;0.007923848;0.004450082;0.00437727;0.004482557;0.004687769;0.006822173;0.0066818;0.006399257;0.006351663;0.009640845;0.009407928;0.009114669;0.008719157;0.012975388;0.012549735;0.012343087;0.012296839;0.00357361;0.003419997;0.00404229;0.003974404;0.00131121;0.0012648;0.001513038;0.002048159;0.012711749;0.012349736;0.014456038;0.014417815;0.010539906;0.010134944;0.009946374;0.010035489
203;0.006778154;0.006541065;0.00784165;0.00781372;0.004298867;0.004257958;0.004611237;0.004732338;0.006648524;0.006489208;0.006258937;0.006253333;0.009364572;0.009220322;0.008871791;0.00852671;0.01253232;0.012226009;0.012053855;0.011986847;0.003460179;0.003307049;0.004028157;0.003932942;0.001283087;0.001244601;0.001747447;0.002208449;0.012390681;0.012034453;0.014160196;0.014189035;0.010288736;0.009853588;0.009898818;0.009881791
205;0.006610923;0.006345698;0.007713319;0.00770177;0.0041609;0.004117037;0.004830791;0.004806892;0.006462271;0.006323308;0.006091474;0.006116124;0.009115767;0.008895132;0.008621216;0.0083137;0.012232915;0.011878913;0.01177207;0.011740263;0.003372896;0.003187251;0.003938115;0.003848102;0.001257381;0.001212463;0.002096568;0.002319715;0.012089158;0.011651092;0.013852203;0.013849363;0.01000257;0.009587834;0.010021207;0.009829357
